country,window_end,slope,se_slope,r_squared,p_value,n
USA,2006-12,-0.95955,0.19096,0.3033,1e-05,60
USA,2007-01,-0.87502,0.18873,0.27039,2e-05,60
USA,2007-02,-0.80093,0.18343,0.24739,5e-05,60
USA,2007-03,-0.74688,0.17747,0.23393,9e-05,60
USA,2007-04,-0.69458,0.17592,0.21184,0.00022,60
USA,2007-05,-0.63448,0.1707,0.19237,0.00046,60
USA,2007-06,-0.58083,0.1654,0.17534,0.00087,60
USA,2007-07,-0.53042,0.16409,0.15266,0.00203,60
USA,2007-08,-0.47141,0.16535,0.12292,0.00603,60
USA,2007-09,-0.4406,0.16218,0.11289,0.00867,60
USA,2007-10,-0.4415,0.16208,0.11342,0.00851,60
USA,2007-11,-0.46513,0.16757,0.11726,0.0074,60
USA,2007-12,-0.47566,0.17403,0.1141,0.0083,60
USA,2008-01,-0.49303,0.18038,0.11411,0.0083,60
USA,2008-02,-0.53374,0.18512,0.12536,0.00551,60
USA,2008-03,-0.558,0.19036,0.12903,0.00482,60
USA,2008-04,-0.54858,0.19662,0.11833,0.00712,60
USA,2008-05,-0.48884,0.20567,0.08876,0.02078,60
USA,2008-06,-0.37008,0.22566,0.04432,0.10642,60
USA,2008-07,-0.17679,0.24835,0.00866,0.47942,60
USA,2008-08,0.05683,0.25893,0.00083,0.82705,60
USA,2008-09,0.25139,0.26294,0.01552,0.34301,60
USA,2008-10,0.35412,0.24727,0.03416,0.15747,60
USA,2008-11,0.14533,0.23851,0.00636,0.54468,60
USA,2008-12,-0.18045,0.22842,0.01065,0.43275,60
USA,2009-01,-0.42361,0.20705,0.06731,0.04531,60
USA,2009-02,-0.55918,0.1803,0.14224,0.00297,60
USA,2009-03,-0.6605,0.15866,0.23005,0.00011,60
USA,2009-04,-0.72771,0.1412,0.31409,0.0,60
USA,2009-05,-0.78283,0.12662,0.39723,0.0,60
USA,2009-06,-0.82478,0.11561,0.46738,0.0,60
USA,2009-07,-0.87866,0.10834,0.53143,0.0,60
USA,2009-08,-0.90144,0.10139,0.57677,0.0,60
USA,2009-09,-0.91146,0.09512,0.61286,0.0,60
USA,2009-10,-0.88382,0.0901,0.62393,0.0,60
USA,2009-11,-0.81538,0.08978,0.58713,0.0,60
USA,2009-12,-0.74233,0.09151,0.53153,0.0,60
USA,2010-01,-0.68981,0.09181,0.49321,0.0,60
USA,2010-02,-0.65281,0.0908,0.47121,0.0,60
USA,2010-03,-0.61723,0.08999,0.44786,0.0,60
USA,2010-04,-0.58724,0.089,0.42875,0.0,60
USA,2010-05,-0.57006,0.08799,0.41983,0.0,60
USA,2010-06,-0.56918,0.08656,0.42709,0.0,60
USA,2010-07,-0.56393,0.08552,0.42847,0.0,60
USA,2010-08,-0.55774,0.0845,0.42896,0.0,60
USA,2010-09,-0.54619,0.0828,0.42868,0.0,60
USA,2010-10,-0.53684,0.08163,0.42714,0.0,60
USA,2010-11,-0.53134,0.08076,0.42739,0.0,60
USA,2010-12,-0.52645,0.08044,0.42479,0.0,60
USA,2011-01,-0.51693,0.08034,0.41651,0.0,60
USA,2011-02,-0.50761,0.08063,0.40594,0.0,60
USA,2011-03,-0.49724,0.08149,0.39097,0.0,60
USA,2011-04,-0.4821,0.08287,0.36848,0.0,60
USA,2011-05,-0.46337,0.08473,0.34024,0.0,60
USA,2011-06,-0.44199,0.08654,0.31023,0.0,60
USA,2011-07,-0.42191,0.08839,0.28206,1e-05,60
USA,2011-08,-0.40258,0.09058,0.25406,4e-05,60
USA,2011-09,-0.40292,0.09267,0.24581,6e-05,60
USA,2011-10,-0.41616,0.09374,0.25363,4e-05,60
USA,2011-11,-0.42657,0.0953,0.25674,4e-05,60
USA,2011-12,-0.43566,0.09712,0.25758,3e-05,60
USA,2012-01,-0.45142,0.09841,0.26621,2e-05,60
USA,2012-02,-0.46664,0.10012,0.27246,2e-05,60
USA,2012-03,-0.48112,0.10224,0.27629,2e-05,60
USA,2012-04,-0.50036,0.10419,0.28452,1e-05,60
USA,2012-05,-0.52281,0.1066,0.29314,1e-05,60
USA,2012-06,-0.54577,0.10902,0.30171,1e-05,60
USA,2012-07,-0.57736,0.11117,0.31742,0.0,60
USA,2012-08,-0.62445,0.11264,0.34637,0.0,60
USA,2012-09,-0.65599,0.11567,0.35671,0.0,60
USA,2012-10,-0.67557,0.11996,0.35352,0.0,60
USA,2012-11,-0.67706,0.12552,0.33405,0.0,60
USA,2012-12,-0.68109,0.13097,0.31798,0.0,60
USA,2013-01,-0.68061,0.13742,0.29723,1e-05,60
USA,2013-02,-0.68621,0.1452,0.27804,2e-05,60
USA,2013-03,-0.68573,0.15379,0.25527,4e-05,60
USA,2013-04,-0.68855,0.16543,0.22999,0.00011,60
USA,2013-05,-0.66939,0.17614,0.19937,0.00035,60
USA,2013-06,-0.60455,0.18572,0.15447,0.00189,60
USA,2013-07,-0.49267,0.1919,0.10205,0.01285,60
USA,2013-08,-0.36049,0.19484,0.05573,0.06938,60
USA,2013-09,-0.20796,0.19833,0.0186,0.29872,60
USA,2013-10,-0.09982,0.20145,0.00422,0.62209,60
USA,2013-11,-0.10659,0.20207,0.00477,0.59984,60
USA,2013-12,-0.14386,0.19517,0.00928,0.46403,60
USA,2014-01,-0.15984,0.1857,0.01261,0.39291,60
USA,2014-02,-0.14109,0.1778,0.01074,0.43069,60
USA,2014-03,-0.12699,0.16875,0.00967,0.45477,60
USA,2014-04,-0.11191,0.15756,0.00862,0.48038,60
USA,2014-05,-0.08235,0.14692,0.00539,0.57729,60
USA,2014-06,-0.04174,0.13497,0.00165,0.75826,60
USA,2014-07,0.01249,0.11881,0.00019,0.91662,60
USA,2014-08,0.07178,0.10461,0.00805,0.49535,60
USA,2014-09,0.13884,0.0892,0.0401,0.12502,60
USA,2014-10,0.19248,0.07993,0.09089,0.01924,60
USA,2014-11,0.21071,0.07874,0.10989,0.00967,60
USA,2014-12,0.2247,0.07818,0.12466,0.00566,60
USA,2015-01,0.26102,0.08042,0.1537,0.00195,60
USA,2015-02,0.30092,0.08131,0.19104,0.00048,60
USA,2015-03,0.33475,0.08187,0.22374,0.00014,60
USA,2015-04,0.37005,0.08257,0.25724,4e-05,60
USA,2015-05,0.40078,0.0829,0.28725,1e-05,60
USA,2015-06,0.43986,0.08028,0.34105,0.0,60
USA,2015-07,0.47298,0.07796,0.38825,0.0,60
USA,2015-08,0.51086,0.07474,0.44613,0.0,60
USA,2015-09,0.55437,0.07113,0.51153,0.0,60
USA,2015-10,0.59248,0.06735,0.57162,0.0,60
USA,2015-11,0.6421,0.06199,0.64909,0.0,60
USA,2015-12,0.6662,0.05854,0.69071,0.0,60
USA,2016-01,0.66612,0.05751,0.69818,0.0,60
USA,2016-02,0.66885,0.05684,0.70478,0.0,60
USA,2016-03,0.66511,0.05714,0.70021,0.0,60
USA,2016-04,0.65177,0.05832,0.68291,0.0,60
USA,2016-05,0.62612,0.05897,0.66026,0.0,60
USA,2016-06,0.602,0.05975,0.63641,0.0,60
USA,2016-07,0.57677,0.0598,0.616,0.0,60
USA,2016-08,0.54433,0.05964,0.58951,0.0,60
USA,2016-09,0.50156,0.06014,0.54529,0.0,60
USA,2016-10,0.45877,0.06109,0.49303,0.0,60
USA,2016-11,0.41195,0.06137,0.43721,0.0,60
USA,2016-12,0.36614,0.06352,0.36419,0.0,60
USA,2017-01,0.31302,0.06689,0.27409,2e-05,60
USA,2017-02,0.25379,0.0714,0.17886,0.00076,60
USA,2017-03,0.20411,0.07403,0.11589,0.00778,60
USA,2017-04,0.1667,0.07599,0.07663,0.03227,60
USA,2017-05,0.14833,0.07762,0.05922,0.06098,60
USA,2017-06,0.13546,0.07895,0.0483,0.09154,60
USA,2017-07,0.1277,0.08061,0.04147,0.11859,60
USA,2017-08,0.10977,0.08284,0.02938,0.19035,60
USA,2017-09,0.07851,0.0848,0.01456,0.35837,60
USA,2017-10,0.04276,0.08595,0.00425,0.62074,60
USA,2017-11,0.01313,0.08782,0.00039,0.88168,60
USA,2017-12,-0.01804,0.09013,0.00069,0.84203,60
USA,2018-01,-0.05112,0.09294,0.00519,0.58439,60
USA,2018-02,-0.09694,0.0949,0.01768,0.31123,60
USA,2018-03,-0.12903,0.09721,0.02948,0.18961,60
USA,2018-04,-0.15327,0.10079,0.03834,0.13377,60
USA,2018-05,-0.19745,0.10451,0.05798,0.06384,60
USA,2018-06,-0.25595,0.10858,0.08742,0.02181,60
USA,2018-07,-0.32602,0.1109,0.12968,0.00471,60
USA,2018-08,-0.3792,0.1133,0.16186,0.00144,60
USA,2018-09,-0.40934,0.11609,0.17652,0.00083,60
USA,2018-10,-0.4378,0.12043,0.18556,0.00059,60
USA,2018-11,-0.46806,0.12311,0.1995,0.00035,60
USA,2018-12,-0.50547,0.12498,0.21998,0.00016,60
USA,2019-01,-0.53584,0.12738,0.23378,9e-05,60
USA,2019-02,-0.55097,0.13152,0.2323,0.0001,60
USA,2019-03,-0.61263,0.13406,0.26473,3e-05,60
USA,2019-04,-0.6711,0.13211,0.30791,0.0,60
USA,2019-05,-0.74519,0.12866,0.36643,0.0,60
USA,2019-06,-0.8019,0.12538,0.41358,0.0,60
USA,2019-07,-0.88756,0.1215,0.47916,0.0,60
USA,2019-08,-0.95431,0.11884,0.52647,0.0,60
USA,2019-09,-1.00008,0.11616,0.56103,0.0,60
USA,2019-10,-1.03834,0.11381,0.58935,0.0,60
USA,2019-11,-1.0885,0.11257,0.61718,0.0,60
USA,2019-12,-1.10357,0.11376,0.61868,0.0,60
USA,2020-01,-1.08657,0.11608,0.6017,0.0,60
USA,2020-02,-1.05227,0.11687,0.58295,0.0,60
USA,2020-03,-1.02299,0.11894,0.56053,0.0,60
USA,2020-04,-0.25886,0.06128,0.23529,9e-05,60
USA,2020-05,-0.21889,0.0473,0.26963,2e-05,60
USA,2020-06,-0.20414,0.04176,0.29179,1e-05,60
USA,2020-07,-0.19343,0.03797,0.30911,0.0,60
USA,2020-08,-0.18866,0.03549,0.32765,0.0,60
USA,2020-09,-0.18573,0.03248,0.36052,0.0,60
USA,2020-10,-0.18624,0.02987,0.40136,0.0,60
USA,2020-11,-0.18707,0.0281,0.43321,0.0,60
USA,2020-12,-0.18769,0.02663,0.46127,0.0,60
USA,2021-01,-0.18874,0.02621,0.47207,0.0,60
USA,2021-02,-0.18871,0.02513,0.49293,0.0,60
USA,2021-03,-0.18516,0.02537,0.47879,0.0,60
USA,2021-04,-0.17663,0.03096,0.35942,0.0,60
USA,2021-05,-0.16997,0.03829,0.25364,4e-05,60
USA,2021-06,-0.16143,0.04564,0.17745,0.0008,60
USA,2021-07,-0.15949,0.05087,0.14489,0.0027,60
USA,2021-08,-0.16031,0.0551,0.12735,0.00513,60
USA,2021-09,-0.16464,0.05957,0.11636,0.00765,60
USA,2021-10,-0.1726,0.06608,0.10525,0.01144,60
USA,2021-11,-0.18763,0.07348,0.10106,0.01332,60
USA,2021-12,-0.20542,0.08063,0.10064,0.01352,60
USA,2022-01,-0.22209,0.08814,0.09867,0.01452,60
USA,2022-02,-0.24076,0.09572,0.09835,0.01469,60
USA,2022-03,-0.26542,0.10393,0.10108,0.01331,60
USA,2022-04,-0.28852,0.11013,0.1058,0.01122,60
USA,2022-05,-0.31437,0.11604,0.11232,0.00885,60
USA,2022-06,-0.34236,0.12209,0.11939,0.00685,60
USA,2022-07,-0.36847,0.12618,0.12818,0.00498,60
USA,2022-08,-0.39047,0.12956,0.1354,0.00382,60
USA,2022-09,-0.41285,0.1325,0.14338,0.00285,60
USA,2022-10,-0.43261,0.13444,0.15148,0.00212,60
USA,2022-11,-0.44892,0.1354,0.15933,0.00158,60
USA,2022-12,-0.46313,0.13535,0.16797,0.00115,60
USA,2023-01,-0.47731,0.13512,0.17704,0.00082,60
USA,2023-02,-0.48832,0.13471,0.18471,0.00061,60
USA,2023-03,-0.49544,0.13381,0.19119,0.00048,60
USA,2023-04,-0.50205,0.1329,0.19745,0.00038,60
USA,2023-05,-0.50593,0.13231,0.20133,0.00032,60
USA,2023-06,-0.50435,0.13211,0.20083,0.00033,60
USA,2023-07,-0.5041,0.1318,0.20142,0.00032,60
USA,2023-08,-0.5072,0.13124,0.20478,0.00028,60
USA,2023-09,-0.51199,0.13043,0.20989,0.00023,60
USA,2023-10,-0.51496,0.12996,0.21303,0.00021,60
USA,2023-11,-0.51756,0.12922,0.21667,0.00018,60
USA,2023-12,-0.52089,0.12825,0.22144,0.00015,60
USA,2024-01,-0.52332,0.12683,0.22693,0.00012,60
USA,2024-02,-0.52915,0.12533,0.23507,9e-05,60
USA,2024-03,-0.5348,0.12407,0.24262,6e-05,60
USA,2024-04,-0.54071,0.12294,0.25008,5e-05,60
USA,2024-05,-0.54814,0.12158,0.25951,3e-05,60
USA,2024-06,-0.55661,0.12017,0.27001,2e-05,60
USA,2024-07,-0.56402,0.11896,0.27932,1e-05,60
USA,2024-08,-0.57233,0.11782,0.28919,1e-05,60
USA,2024-09,-0.58102,0.11672,0.29934,1e-05,60
USA,2024-10,-0.58878,0.11555,0.30923,0.0,60
USA,2024-11,-0.59628,0.11469,0.31789,0.0,60
USA,2024-12,-0.6026,0.11399,0.32515,0.0,60
USA,2025-01,-0.60744,0.11353,0.33046,0.0,60
USA,2025-02,-0.6155,0.11283,0.33908,0.0,60
USA,2025-03,-0.61541,0.11181,0.34311,0.0,60
USA,2025-04,-0.70366,0.13361,0.32349,0.0,60
USA,2025-05,-0.80147,0.16174,0.29743,1e-05,60
USA,2025-06,-0.88017,0.1892,0.27174,2e-05,60
USA,2025-07,-0.99625,0.22408,0.25417,4e-05,60
USA,2025-08,-1.04973,0.25124,0.23135,0.0001,60
USA,2025-09,-1.09305,0.27942,0.20876,0.00024,60
USA,2025-10,-1.07848,0.30085,0.18138,0.00069,60
JAPAN,2006-12,-0.60326,0.10842,0.34803,0.0,60
JAPAN,2007-01,-0.56627,0.10316,0.34191,0.0,60
JAPAN,2007-02,-0.50716,0.09697,0.32049,0.0,60
JAPAN,2007-03,-0.46466,0.09321,0.29993,1e-05,60
JAPAN,2007-04,-0.42782,0.09004,0.28016,1e-05,60
JAPAN,2007-05,-0.39908,0.0888,0.2583,3e-05,60
JAPAN,2007-06,-0.36001,0.08905,0.21986,0.00016,60
JAPAN,2007-07,-0.3256,0.08709,0.19418,0.00043,60
JAPAN,2007-08,-0.28225,0.08689,0.15391,0.00193,60
JAPAN,2007-09,-0.25085,0.08716,0.12496,0.00559,60
JAPAN,2007-10,-0.22235,0.08613,0.10306,0.01238,60
JAPAN,2007-11,-0.23891,0.0877,0.11343,0.00851,60
JAPAN,2007-12,-0.26227,0.08984,0.1281,0.00499,60
JAPAN,2008-01,-0.27776,0.09392,0.13103,0.00448,60
JAPAN,2008-02,-0.30774,0.10067,0.13876,0.00338,60
JAPAN,2008-03,-0.36466,0.10787,0.1646,0.0013,60
JAPAN,2008-04,-0.40967,0.1131,0.18448,0.00062,60
JAPAN,2008-05,-0.45782,0.12402,0.19025,0.00049,60
JAPAN,2008-06,-0.51251,0.1473,0.17267,0.00096,60
JAPAN,2008-07,-0.6039,0.17149,0.17614,0.00084,60
JAPAN,2008-08,-0.64237,0.19264,0.16087,0.00149,60
JAPAN,2008-09,-0.71585,0.2142,0.16147,0.00146,60
JAPAN,2008-10,-0.82008,0.22627,0.18466,0.00061,60
JAPAN,2008-11,-0.82803,0.23729,0.17351,0.00093,60
JAPAN,2008-12,-0.80919,0.24446,0.15889,0.00161,60
JAPAN,2009-01,-0.80806,0.25282,0.14975,0.00225,60
JAPAN,2009-02,-0.85731,0.26136,0.15648,0.00176,60
JAPAN,2009-03,-0.86701,0.26128,0.15956,0.00157,60
JAPAN,2009-04,-0.80162,0.25628,0.14434,0.00275,60
JAPAN,2009-05,-0.84793,0.2471,0.16877,0.00111,60
JAPAN,2009-06,-1.00266,0.24072,0.23026,0.0001,60
JAPAN,2009-07,-1.19711,0.22888,0.3205,0.0,60
JAPAN,2009-08,-1.3328,0.22012,0.3873,0.0,60
JAPAN,2009-09,-1.43103,0.2101,0.44439,0.0,60
JAPAN,2009-10,-1.55932,0.20594,0.49711,0.0,60
JAPAN,2009-11,-1.61369,0.19564,0.53979,0.0,60
JAPAN,2009-12,-1.63593,0.18905,0.56353,0.0,60
JAPAN,2010-01,-1.63827,0.18501,0.57481,0.0,60
JAPAN,2010-02,-1.62587,0.18252,0.57772,0.0,60
JAPAN,2010-03,-1.60504,0.17927,0.58018,0.0,60
JAPAN,2010-04,-1.59221,0.17574,0.58597,0.0,60
JAPAN,2010-05,-1.57044,0.173,0.58692,0.0,60
JAPAN,2010-06,-1.53706,0.16975,0.58569,0.0,60
JAPAN,2010-07,-1.53196,0.16767,0.59005,0.0,60
JAPAN,2010-08,-1.53053,0.16485,0.59778,0.0,60
JAPAN,2010-09,-1.525,0.16216,0.60393,0.0,60
JAPAN,2010-10,-1.48853,0.16112,0.59541,0.0,60
JAPAN,2010-11,-1.46391,0.15903,0.59366,0.0,60
JAPAN,2010-12,-1.45203,0.15834,0.59183,0.0,60
JAPAN,2011-01,-1.4499,0.15778,0.59283,0.0,60
JAPAN,2011-02,-1.45848,0.15724,0.59733,0.0,60
JAPAN,2011-03,-1.46935,0.15639,0.60349,0.0,60
JAPAN,2011-04,-1.47763,0.15587,0.60775,0.0,60
JAPAN,2011-05,-1.48401,0.15604,0.60929,0.0,60
JAPAN,2011-06,-1.47869,0.15597,0.60779,0.0,60
JAPAN,2011-07,-1.47279,0.15757,0.60099,0.0,60
JAPAN,2011-08,-1.46215,0.15779,0.59686,0.0,60
JAPAN,2011-09,-1.45391,0.15814,0.59307,0.0,60
JAPAN,2011-10,-1.45284,0.15882,0.59063,0.0,60
JAPAN,2011-11,-1.4591,0.16004,0.589,0.0,60
JAPAN,2011-12,-1.46555,0.16096,0.58836,0.0,60
JAPAN,2012-01,-1.4815,0.16138,0.59235,0.0,60
JAPAN,2012-02,-1.50508,0.16129,0.60022,0.0,60
JAPAN,2012-03,-1.52781,0.1622,0.6047,0.0,60
JAPAN,2012-04,-1.57065,0.16298,0.61558,0.0,60
JAPAN,2012-05,-1.6177,0.16222,0.63162,0.0,60
JAPAN,2012-06,-1.68753,0.15913,0.65974,0.0,60
JAPAN,2012-07,-1.76755,0.15794,0.68347,0.0,60
JAPAN,2012-08,-1.84017,0.15467,0.70935,0.0,60
JAPAN,2012-09,-1.87983,0.15254,0.72365,0.0,60
JAPAN,2012-10,-1.86964,0.15644,0.7112,0.0,60
JAPAN,2012-11,-1.87804,0.15967,0.70461,0.0,60
JAPAN,2012-12,-1.92471,0.16223,0.70817,0.0,60
