country,horizon,response,shock,share
USA,0,GDP,GDP,1.0000000000000002
USA,0,GDP,UNEMPLOYMENT,0.0
USA,0,GDP,CPI,0.0
USA,0,GDP,POLICY_RATE,0.0
USA,0,GDP,M2,0.0
USA,0,UNEMPLOYMENT,GDP,0.9777917823189289
USA,0,UNEMPLOYMENT,UNEMPLOYMENT,0.008433385694895563
USA,0,UNEMPLOYMENT,CPI,0.0036491921243609862
USA,0,UNEMPLOYMENT,POLICY_RATE,0.00033902885845413884
USA,0,UNEMPLOYMENT,M2,0.009786611003360443
USA,0,CPI,GDP,0.9659486300422854
USA,0,CPI,UNEMPLOYMENT,0.00758413511584574
USA,0,CPI,CPI,0.008801249970149447
USA,0,CPI,POLICY_RATE,0.001348709614624631
USA,0,CPI,M2,0.016317275257094924
USA,0,POLICY_RATE,GDP,0.954167674702683
USA,0,POLICY_RATE,UNEMPLOYMENT,0.008752907090708252
USA,0,POLICY_RATE,CPI,0.018939949763761746
USA,0,POLICY_RATE,POLICY_RATE,0.0022580310281617388
USA,0,POLICY_RATE,M2,0.01588143741468528
USA,0,M2,GDP,0.9437737253417523
USA,0,M2,UNEMPLOYMENT,0.00909123376285995
USA,0,M2,CPI,0.02394779454082337
USA,0,M2,POLICY_RATE,0.009771405066202289
USA,0,M2,M2,0.01341584128836216
USA,1,GDP,GDP,0.015557529981213656
USA,1,GDP,UNEMPLOYMENT,0.9844424700187864
USA,1,GDP,CPI,0.0
USA,1,GDP,POLICY_RATE,0.0
USA,1,GDP,M2,0.0
USA,1,UNEMPLOYMENT,GDP,0.013487620451300423
USA,1,UNEMPLOYMENT,UNEMPLOYMENT,0.8916591065762995
USA,1,UNEMPLOYMENT,CPI,0.002125884974145663
USA,1,UNEMPLOYMENT,POLICY_RATE,0.09212148598167293
USA,1,UNEMPLOYMENT,M2,0.000605902016581391
USA,1,CPI,GDP,0.1143156577988967
USA,1,CPI,UNEMPLOYMENT,0.7506777445892437
USA,1,CPI,CPI,0.0017100529251564728
USA,1,CPI,POLICY_RATE,0.12936012715844844
USA,1,CPI,M2,0.003936417528254476
USA,1,POLICY_RATE,GDP,0.15953624651802498
USA,1,POLICY_RATE,UNEMPLOYMENT,0.7106560835403671
USA,1,POLICY_RATE,CPI,0.003603664899291095
USA,1,POLICY_RATE,POLICY_RATE,0.12247746990620986
USA,1,POLICY_RATE,M2,0.003726535136106888
USA,1,M2,GDP,0.1605271309014975
USA,1,M2,UNEMPLOYMENT,0.702344806028508
USA,1,M2,CPI,0.0058998262500902145
USA,1,M2,POLICY_RATE,0.1269513538782126
USA,1,M2,M2,0.004276882941691664
USA,2,GDP,GDP,0.00040148336920660567
USA,2,GDP,UNEMPLOYMENT,0.0010143822432229876
USA,2,GDP,CPI,0.9985841343875704
USA,2,GDP,POLICY_RATE,0.0
USA,2,GDP,M2,0.0
USA,2,UNEMPLOYMENT,GDP,0.0008761957383630188
USA,2,UNEMPLOYMENT,UNEMPLOYMENT,0.0677680993940664
USA,2,UNEMPLOYMENT,CPI,0.9308748771877275
USA,2,UNEMPLOYMENT,POLICY_RATE,0.00031307170201965405
USA,2,UNEMPLOYMENT,M2,0.0001677559778232352
USA,2,CPI,GDP,0.005593219461931708
USA,2,CPI,UNEMPLOYMENT,0.14868392141636474
USA,2,CPI,CPI,0.8417474630350229
USA,2,CPI,POLICY_RATE,0.0029353687006119455
USA,2,CPI,M2,0.001040027386068722
USA,2,POLICY_RATE,GDP,0.01631894540452867
USA,2,POLICY_RATE,UNEMPLOYMENT,0.19877790866084422
USA,2,POLICY_RATE,CPI,0.7634036864923088
USA,2,POLICY_RATE,POLICY_RATE,0.020127958884897896
USA,2,POLICY_RATE,M2,0.0013715005574204309
USA,2,M2,GDP,0.021243410191282546
USA,2,M2,UNEMPLOYMENT,0.22976394768711222
USA,2,M2,CPI,0.6999819142944886
USA,2,M2,POLICY_RATE,0.042236130466072
USA,2,M2,M2,0.006774597361044678
USA,3,GDP,GDP,0.001190355223409383
USA,3,GDP,UNEMPLOYMENT,0.0693573601589782
USA,3,GDP,CPI,3.4945409556347446e-05
USA,3,GDP,POLICY_RATE,0.9294173392080559
USA,3,GDP,M2,0.0
USA,3,UNEMPLOYMENT,GDP,0.005236257097920947
USA,3,UNEMPLOYMENT,UNEMPLOYMENT,0.10630267458576258
USA,3,UNEMPLOYMENT,CPI,0.0020776494406570356
USA,3,UNEMPLOYMENT,POLICY_RATE,0.8858514466355911
USA,3,UNEMPLOYMENT,M2,0.0005319722400683802
USA,3,CPI,GDP,0.009451323196507983
USA,3,CPI,UNEMPLOYMENT,0.11109652915865974
USA,3,CPI,CPI,0.00252355838649258
USA,3,CPI,POLICY_RATE,0.8724851999170723
USA,3,CPI,M2,0.004443389341267416
USA,3,POLICY_RATE,GDP,0.009436584298778672
USA,3,POLICY_RATE,UNEMPLOYMENT,0.10567889464793294
USA,3,POLICY_RATE,CPI,0.019039002238009126
USA,3,POLICY_RATE,POLICY_RATE,0.8567172234140382
USA,3,POLICY_RATE,M2,0.009128295401240962
USA,3,M2,GDP,0.01519180654695806
USA,3,M2,UNEMPLOYMENT,0.10301125545835511
USA,3,M2,CPI,0.039530271524621484
USA,3,M2,POLICY_RATE,0.8331046273054614
USA,3,M2,M2,0.00916203916460389
USA,4,GDP,GDP,0.040865592427409565
USA,4,GDP,UNEMPLOYMENT,0.0024413248959772606
USA,4,GDP,CPI,0.0034233780641575143
USA,4,GDP,POLICY_RATE,0.05991345546639164
USA,4,GDP,M2,0.8933562491460642
USA,4,UNEMPLOYMENT,GDP,0.02342416644856796
USA,4,UNEMPLOYMENT,UNEMPLOYMENT,0.009168858986843501
USA,4,UNEMPLOYMENT,CPI,0.0019524157800282656
USA,4,UNEMPLOYMENT,POLICY_RATE,0.1076083025762932
USA,4,UNEMPLOYMENT,M2,0.857846256208267
USA,4,CPI,GDP,0.049355676019484936
USA,4,CPI,UNEMPLOYMENT,0.08776170958289661
USA,4,CPI,CPI,0.010781463647999378
USA,4,CPI,POLICY_RATE,0.10659806566945669
USA,4,CPI,M2,0.7455030850801624
USA,4,POLICY_RATE,GDP,0.07208938536834399
USA,4,POLICY_RATE,UNEMPLOYMENT,0.14871397251415766
USA,4,POLICY_RATE,CPI,0.009439781753385246
USA,4,POLICY_RATE,POLICY_RATE,0.09611884220897592
USA,4,POLICY_RATE,M2,0.6736380181551372
USA,4,M2,GDP,0.08248270685738697
USA,4,M2,UNEMPLOYMENT,0.1771887790798323
USA,4,M2,CPI,0.01061674872619638
USA,4,M2,POLICY_RATE,0.09117004247636304
USA,4,M2,M2,0.6385417228602215
JAPAN,0,GDP,GDP,1.0
JAPAN,0,GDP,UNEMPLOYMENT,0.0
JAPAN,0,GDP,CPI,0.0
JAPAN,0,GDP,POLICY_RATE,0.0
JAPAN,0,GDP,M2,0.0
JAPAN,0,UNEMPLOYMENT,GDP,0.9956838786880126
JAPAN,0,UNEMPLOYMENT,UNEMPLOYMENT,0.0023154467394210427
JAPAN,0,UNEMPLOYMENT,CPI,0.0011703214091139903
JAPAN,0,UNEMPLOYMENT,POLICY_RATE,0.00012025749255338919
JAPAN,0,UNEMPLOYMENT,M2,0.0007100956708990474
JAPAN,0,CPI,GDP,0.9929194153828901
JAPAN,0,CPI,UNEMPLOYMENT,0.002050985238492593
JAPAN,0,CPI,CPI,0.0012418647315660277
JAPAN,0,CPI,POLICY_RATE,0.0007905740023178129
JAPAN,0,CPI,M2,0.0029971606447335613
JAPAN,0,POLICY_RATE,GDP,0.9856721462696815
JAPAN,0,POLICY_RATE,UNEMPLOYMENT,0.002900205076505636
JAPAN,0,POLICY_RATE,CPI,0.0008834996885010285
JAPAN,0,POLICY_RATE,POLICY_RATE,0.0008405019179050558
JAPAN,0,POLICY_RATE,M2,0.0097036470474069
JAPAN,0,M2,GDP,0.9730605711590206
JAPAN,0,M2,UNEMPLOYMENT,0.0032731435088384944
JAPAN,0,M2,CPI,0.0018862854582465062
JAPAN,0,M2,POLICY_RATE,0.0009691737014827856
JAPAN,0,M2,M2,0.020810826172411683
JAPAN,1,GDP,GDP,0.006869165389358313
JAPAN,1,GDP,UNEMPLOYMENT,0.9931308346106417
JAPAN,1,GDP,CPI,0.0
JAPAN,1,GDP,POLICY_RATE,0.0
JAPAN,1,GDP,M2,0.0
JAPAN,1,UNEMPLOYMENT,GDP,0.023103416892541834
JAPAN,1,UNEMPLOYMENT,UNEMPLOYMENT,0.967519645580269
JAPAN,1,UNEMPLOYMENT,CPI,0.00032567160917706825
JAPAN,1,UNEMPLOYMENT,POLICY_RATE,0.007118077571171088
JAPAN,1,UNEMPLOYMENT,M2,0.0019331883468409578
JAPAN,1,CPI,GDP,0.02379828849266073
JAPAN,1,CPI,UNEMPLOYMENT,0.9668234557277934
JAPAN,1,CPI,CPI,0.00040797885854163587
JAPAN,1,CPI,POLICY_RATE,0.006894801997571734
JAPAN,1,CPI,M2,0.0020754749234325456
JAPAN,1,POLICY_RATE,GDP,0.02597851705170325
JAPAN,1,POLICY_RATE,UNEMPLOYMENT,0.9587727413672937
JAPAN,1,POLICY_RATE,CPI,0.0011075778648458859
JAPAN,1,POLICY_RATE,POLICY_RATE,0.01189923722986216
JAPAN,1,POLICY_RATE,M2,0.0022419264862949327
JAPAN,1,M2,GDP,0.02590663519211011
JAPAN,1,M2,UNEMPLOYMENT,0.9546823379803834
JAPAN,1,M2,CPI,0.001140990014843287
JAPAN,1,M2,POLICY_RATE,0.012327201015055472
JAPAN,1,M2,M2,0.005942835797607733
JAPAN,2,GDP,GDP,0.00027084340868234436
JAPAN,2,GDP,UNEMPLOYMENT,0.000372021912900368
JAPAN,2,GDP,CPI,0.9993571346784172
JAPAN,2,GDP,POLICY_RATE,0.0
JAPAN,2,GDP,M2,0.0
JAPAN,2,UNEMPLOYMENT,GDP,0.0003193335266243043
JAPAN,2,UNEMPLOYMENT,UNEMPLOYMENT,0.004419964416959167
JAPAN,2,UNEMPLOYMENT,CPI,0.9877362118923277
JAPAN,2,UNEMPLOYMENT,POLICY_RATE,9.670948472188536e-05
JAPAN,2,UNEMPLOYMENT,M2,0.007427780679366827
JAPAN,2,CPI,GDP,0.007054318096569033
JAPAN,2,CPI,UNEMPLOYMENT,0.006121006604423799
JAPAN,2,CPI,CPI,0.9740500793694749
JAPAN,2,CPI,POLICY_RATE,0.0055163193498614415
JAPAN,2,CPI,M2,0.007258276579670877
JAPAN,2,POLICY_RATE,GDP,0.00880954114408192
JAPAN,2,POLICY_RATE,UNEMPLOYMENT,0.005978100593244753
JAPAN,2,POLICY_RATE,CPI,0.9610668241885764
JAPAN,2,POLICY_RATE,POLICY_RATE,0.013391179605541072
JAPAN,2,POLICY_RATE,M2,0.010754354468555962
JAPAN,2,M2,GDP,0.008905997915798295
JAPAN,2,M2,UNEMPLOYMENT,0.010527818517028682
JAPAN,2,M2,CPI,0.945900628323813
JAPAN,2,M2,POLICY_RATE,0.022571645810617127
JAPAN,2,M2,M2,0.012093909432742925
JAPAN,3,GDP,GDP,0.001827559206082441
JAPAN,3,GDP,UNEMPLOYMENT,0.0019937230600430124
JAPAN,3,GDP,CPI,0.005619042386414083
JAPAN,3,GDP,POLICY_RATE,0.9905596753474605
JAPAN,3,GDP,M2,0.0
JAPAN,3,UNEMPLOYMENT,GDP,0.004884904653922734
JAPAN,3,UNEMPLOYMENT,UNEMPLOYMENT,0.015364626654331796
JAPAN,3,UNEMPLOYMENT,CPI,0.0055869656892311124
JAPAN,3,UNEMPLOYMENT,POLICY_RATE,0.9636710124802015
JAPAN,3,UNEMPLOYMENT,M2,0.010492490522312901
JAPAN,3,CPI,GDP,0.004826958259602332
JAPAN,3,CPI,UNEMPLOYMENT,0.02380995923765522
JAPAN,3,CPI,CPI,0.006580508536025673
JAPAN,3,CPI,POLICY_RATE,0.9543437708351239
JAPAN,3,CPI,M2,0.010438803131592959
JAPAN,3,POLICY_RATE,GDP,0.006144732798375805
JAPAN,3,POLICY_RATE,UNEMPLOYMENT,0.024589272526685423
JAPAN,3,POLICY_RATE,CPI,0.008287014359442752
JAPAN,3,POLICY_RATE,POLICY_RATE,0.9506121692387581
JAPAN,3,POLICY_RATE,M2,0.010366811076737793
JAPAN,3,M2,GDP,0.008841203290486748
JAPAN,3,M2,UNEMPLOYMENT,0.024558641301410295
JAPAN,3,M2,CPI,0.008277034510835442
JAPAN,3,M2,POLICY_RATE,0.948015451380394
JAPAN,3,M2,M2,0.010307669516873464
JAPAN,4,GDP,GDP,0.022032427067438454
JAPAN,4,GDP,UNEMPLOYMENT,0.004766801241832774
JAPAN,4,GDP,CPI,0.0007916386168297949
JAPAN,4,GDP,POLICY_RATE,0.011350170521010698
JAPAN,4,GDP,M2,0.9610589625528884
JAPAN,4,UNEMPLOYMENT,GDP,0.05147725416702888
JAPAN,4,UNEMPLOYMENT,UNEMPLOYMENT,0.016248783488105774
JAPAN,4,UNEMPLOYMENT,CPI,0.014032577772104513
JAPAN,4,UNEMPLOYMENT,POLICY_RATE,0.010613110175949804
JAPAN,4,UNEMPLOYMENT,M2,0.907628274396811
JAPAN,4,CPI,GDP,0.07610948584154442
JAPAN,4,CPI,UNEMPLOYMENT,0.01566679384491325
JAPAN,4,CPI,CPI,0.013692956525347482
JAPAN,4,CPI,POLICY_RATE,0.012310626882989773
JAPAN,4,CPI,M2,0.8822201369052051
JAPAN,4,POLICY_RATE,GDP,0.16700624118592414
JAPAN,4,POLICY_RATE,UNEMPLOYMENT,0.013858457412170379
JAPAN,4,POLICY_RATE,CPI,0.018797370653442155
JAPAN,4,POLICY_RATE,POLICY_RATE,0.01105581815162938
JAPAN,4,POLICY_RATE,M2,0.789282112596834
JAPAN,4,M2,GDP,0.23045882890462968
JAPAN,4,M2,UNEMPLOYMENT,0.01675607127624878
JAPAN,4,M2,CPI,0.019786286274977645
JAPAN,4,M2,POLICY_RATE,0.01673435938749886
JAPAN,4,M2,M2,0.7162644541566451
UK,0,GDP,GDP,1.0
UK,0,GDP,UNEMPLOYMENT,0.0
